Distance,Competitor,Date_of_birth,Nationality,Venue,Date
70.24,Imrich BUGÁR,1955-04-14,TCH,Nitra (TCH),1984-08-26
70.21,Virgilijus ALEKNA,1972-02-13,LTU,Paris (FRA),2004-07-23
70.2,Luis Mariano DELIS,1957-12-06,CUB,La Habana (CUB),1982-08-08
70.17,Virgilijus ALEKNA,1972-02-13,LTU,"Olympic Stadium, Helsinki (FIN)",2005-08-07
70.16,Gerd KANTER,1979-05-06,EST,Helsingborg (SWE),2007-08-11
70.12,Gerd KANTER,1979-05-06,EST,Valga (EST),2007-06-05
70.1,Mac WILKINS,1950-11-15,USA,"Westwood, CA (USA)",1976-06-11
70.1,Gerd KANTER,1979-05-06,EST,"Chula Vista, CA (USA)",2005-04-27
70.1,Virgilijus ALEKNA,1972-02-13,LTU,Tallinn (EST),2006-09-22
70.06,Imrich BUGÁR,1955-04-14,TCH,Zaragoza (ESP),1983-05-22
70.06,Romas UBARTAS,1960-05-26,URS,Smalininkai (URS),1988-05-08
70.04,Jay SILVESTER,1937-08-27,USA,Ystad (SWE),1971-06-10
70.02,Mac WILKINS,1950-11-15,USA,Reykjavík (ISL),1978-08-17
70.01,Virgilijus ALEKNA,1972-02-13,LTU,Vilnius (LTU),2007-04-18
70,Mac WILKINS,1950-11-15,USA,Nice (FRA),1976-08-16
70,Juan MARTINEZ BRITO,1958-05-17,CUB,La Habana (CUB),1983-05-21
70,Luis Mariano DELIS,1957-12-06,CUB,La Habana (CUB),1985-03-31
